PART_NUM,DEAL_REG_GROUP,START_DATE,END_DATE,ACTIVE_FLAG,ADD_DATE,MODIFIED_Date
SWPT005706,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT005707,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT005708,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT005709,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT005710,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT006450,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT006451,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT006648,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT006649,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT006650,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT006651,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT006652,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT006659,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT006694,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT006695,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT006801,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT006802,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT006803,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT006804,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
SWPT006805,Integration Solutions,6/6/2019 12:00:00 AM,12/31/9999 12:00:00 AM,Y,7/11/2019 5:02:25 PM,7/11/2019 5:02:25 PM
